ssvid,shipname_norm,imo,callsign,vessel_class,flag,length_m,tonnage_gt,engine_power,hours,fishing_hours,hours_HS,fishing_hours_HS,gfw_owner,gfw_owner_address,gfw_owner_flag
412329689,LUQINGYUANYU208,9737979,BZYI3,trawlers,CHN,55.03,1617,1530.1,4606.33,2832.43,3808.17,2829.99,QINGDAO DEEP SEA FISHERIES,NA,CHN
430350001,V4303500018,NA,NA,drifting_longlines,NA,51.72,788.53,972.41,1969.93,51.95,1928.7,51.95,NA,NA,NA
412331035,LUYANYUANYU7,NA,BZSE4,squid_jigger,CHN,61.14,989,1470,8144.27,2627.99,7361.31,2627.33,CHINA YANTAI MARINE FISHERIES,"179, BEIMA LU, ZHIFU QU, YANTAI, SHANDONG, 264000, CHINA.",CHN
539900022,539900022,NA,NA,drifting_longlines,NA,33.36,90.99,533.87,3020.33,1533,3015.01,1527.68,NA,NA,NA
228066900,GEVRED,9741097,FIUO,tuna_purse_seines,FRA,77,2357,3920,6477.74,1262.8,1846,421.26,COMPAGNIE FRANCAISE DU THON OCEANIQUE,9 RUE DU PROFESSEUR LEGENDRE,FRA
412420967,HONGPU1,NA,BZV7V,squid_jigger,CHN,50.1,611,993,8209.24,2977.41,7907.37,2977.41,ZHOUSHAN HONGPU OCEAN FISHERIES,"SHENJIAMEN JIEDAO, PUTUO QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
627179000,CAPDAMBRE,9223227,9GHE,tuna_purse_seines,GHA,72.53,1664,2365.1,8712.62,760.35,2079.83,604.8,ZHONG GHA FOODS,"CARE OF AFRICA STAR FISHERIES LTD , ACCRA, GHANA.",GHA
412420339,MINGXIANG807,8782733,BZ7VC,squid_jigger,CHN,45.73,477,755.55,4378.27,923.95,4047.06,922,ZHOUSHAN WANXIN OCEAN FISH,"1, SHANGHUI LU, GANLANZHEN, DINGHAI QU, ZHOUSHAN, ZHEJIANG, CHINA.",CHN
412331063,LURONGYUANYU209,9769491,BCFH6,drifting_longlines,CHN,37.51,276,625.13,7893.16,5786.14,7044.31,5756.56,ZHEJIANG XINLONG OCEAN,"322, YINQIAO LU, SHAOXING ECO INDL PARK, YUECHENG QU, SHAOXING, ZHEJIANG, CHINA.",CHN
200016052,JINYUSHENG,NA,NA,drifting_longlines,TWN,27.5,56.1,400.11,7133.85,3396.69,1204.54,940.69,NA,NA,NA
